[18:35:58] [INFO] received Windows console close event; shutting log-core down
[18:38:40] [INFO] received Windows console close event; shutting log-core down
[18:39:53] [INFO] received Windows console close event; shutting log-core down
[18:41:06] [INFO] received Windows console close event; shutting log-core down
[19:39:06] [INFO] received Windows console close event; shutting log-core down
[19:48:52] [INFO] received Windows console close event; shutting log-core down
[19:51:27] [INFO] received Windows console close event; shutting log-core down
[19:53:30] [INFO] received Windows console close event; shutting log-core down
[19:54:52] [INFO] received Windows console close event; shutting log-core down
[19:56:09] [INFO] received Windows console close event; shutting log-core down
[19:57:31] [INFO] received Windows console close event; shutting log-core down
[20:41:45] [INFO] received Windows console close event; shutting log-core down
[20:44:49] [INFO] received Windows console close event; shutting log-core down
[20:48:52] [INFO] received Windows console close event; shutting log-core down
[20:59:20] [INFO] received Windows console close event; shutting log-core down
[21:02:28] [INFO] received Windows console close event; shutting log-core down
[21:32:37] [INFO] received Windows console close event; shutting log-core down
[23:45:28] [INFO] received Windows console close event; shutting log-core down
[12:53:49] [INFO] received Windows console close event; shutting log-core down
[12:54:05] [INFO] received Windows console close event; shutting log-core down
[13:06:29] [INFO] received Windows console close event; shutting log-core down
[15:06:14] [INFO] received Windows console close event; shutting log-core down
[15:07:31] [INFO] received Windows console close event; shutting log-core down
[15:12:35] [INFO] received Windows console close event; shutting log-core down
[15:21:36] [INFO] received Windows console close event; shutting log-core down
[15:58:13] [INFO] received Windows console close event; shutting log-core down
[17:28:50] [INFO] received Windows console close event; shutting log-core down
[17:36:25] [INFO] received Windows console close event; shutting log-core down
[17:43:29] [INFO] received Windows console close event; shutting log-core down
[18:07:33] [INFO] received Windows console close event; shutting log-core down
[19:57:23] [INFO] received Windows console close event; shutting log-core down
[20:04:54] [INFO] received Windows console close event; shutting log-core down
[20:08:11] [INFO] received Windows console close event; shutting log-core down
[20:13:03] [INFO] received Windows console close event; shutting log-core down
[20:15:38] [INFO] received Windows console close event; shutting log-core down
[20:20:53] [INFO] received Windows console close event; shutting log-core down
[20:35:37] [INFO] received Windows console close event; shutting log-core down
[20:50:07] [INFO] received Windows console close event; shutting log-core down
[21:09:32] [INFO] received Windows console close event; shutting log-core down
[21:23:38] [INFO] received Windows console close event; shutting log-core down
[21:29:12] [INFO] received Windows console close event; shutting log-core down
